step	accuracy
1869	0.96875
1870	1.0
1871	1.0
1872	0.96875
1873	1.0
1874	0.96875
1875	1.0
1876	1.0
1877	1.0
1878	1.0
1879	1.0
1880	0.96875
1881	1.0
1882	0.96875
1883	0.875
1884	0.96875
1885	0.9375
1886	0.96875
1887	0.96875
1888	0.96875
1889	0.90625
1890	0.75
1891	0.9375
1892	1.0
1893	0.96875
1894	0.90625
1895	0.96875
1896	0.90625
1897	0.84375
1898	0.96875
1899	0.9375
1900	0.9375
1901	1.0
1902	0.96875
1903	1.0
1904	1.0
1905	0.9375
1906	0.96875
1907	0.9375
1908	0.96875
1909	1.0
1910	0.9375
1911	0.96875
1912	1.0
1913	0.90625
1914	0.96875
1915	1.0
1916	0.96875
1917	0.9375
1918	0.96875
1919	0.96875
